Ref,Building ID,Space ID,Room ID,Space name NL,Space name EN,Floor,Latitude,Longitude,Seats,Adjustable Chairs,Quietness,Light,Power outlets,Whiteboard,Presentation screen,Coffee machine distance,Printer distance,Bathroom distance
SSP00121,23 - Civiele Techniek en Geowetenschappen,23.00.06.372,HG 06.372,Study Area - Staircase B,Study Area - Staircase B,6e verdieping,51.999058,4.375404,6,6,stil,kunstmatig licht,ja (>/= 1 pp),nee,nee,0-25m,0-50m,0-25m
SSP00123,23 - Civiele Techniek en Geowetenschappen,23.00.06.530,HG 06.530,Study Area - Staircase C,Study Area - Staircase C,6e verdieping,51.998704,4.375644,10,0,stil,daglicht,nee,nee,nee,0-25m,0-50m,0-25m
SSP00138,23 - Civiele Techniek en Geowetenschappen,23.00.06.760,HG 06.760,Restaurant,Restaurant,6e verdieping,51.998191,4.376007,224,0,rumoerig,daglicht,nee,nee,nee,0-25m,0-50m,0-25m
SSP00092,23 - Civiele Techniek en Geowetenschappen,23.03.00.010,S3.00.010,Study Area - Stevin 3,Study Area - Stevin 3,begane grond,51.998096,4.376591,28,20,rustig,daglicht,ja (<1 pp),nee,nee,0-25m,onbekend,0-25m
SSP00390,28 - Wiskunde & Informatica,28.00.00.140,0.C140,Main Hall,Main Hall,begane grond,51.999097,4.377981,16,0,rumoerig,daglicht,nee,nee,nee,0-25m,0-50m,0-25m
SSP00393,28 - Wiskunde & Informatica,28.00.00.460,0.C460,Study Area,Study Area,begane grond,51.998844,4.37816,20,16,rustig,daglicht,ja (>/= 1 pp),nee,nee,0-25m,0-50m,0-25m
23SSP013,28 - Wiskunde & Informatica,28.00.00.020,0.W020,Restaurant,Restaurant,begane grond,51.999075,4.378323,73,0,rumoerig,daglicht,ja (<1 pp),nee,nee,nvt,0-50m,0-25m
23SSP014,28 - Wiskunde & Informatica,28.00.00.600,0.W600,Study Area,Study Area,begane grond,51.999075,4.378323,16,16,stil,daglicht,ja (>/= 1 pp),nee,nee,nvt,0-50m,0-25m
23SSP063,28 - Wiskunde & Informatica,28.00.01.460,1.C460,Study Area,Study Area,1e verdieping,51.999075,4.378323,16,16,rustig,kunstmatig licht,ja (>/= 1 pp),nee,nee,nvt,0-50m,0-25m
SSP00394,28 - Wiskunde & Informatica,28.00.02.460,2.C460,Study Area,Study Area,2e verdieping,51.99886,4.378192,16,16,rustig,kunstmatig licht,ja (>/= 1 pp),nee,nee,0-25m,0-50m,0-25m
23SSP064,28 - Wiskunde & Informatica,28.00.02.960,2.C960,Study Area,Study Area,2e verdieping,51.999075,4.378323,12,12,rustig,daglicht,ja (>/= 1 pp),nee,nee,nvt,0-50m,0-25m
23SSP065,28 - Wiskunde & Informatica,28.00.03.460,3.C460,Study Area,Study Area,3e verdieping,51.999075,4.378323,12,12,rustig,kunstmatig licht,ja (>/= 1 pp),nee,nee,nvt,0-50m,0-25m
SSP00397,28 - Wiskunde & Informatica,28.00.04.460,4.C460,Study Area,Study Area,4e verdieping,51.99886,4.378192,12,12,rustig,daglicht,ja (>/= 1 pp),nee,nee,0-25m,0-50m,0-25m
SSP00398,28 - Wiskunde & Informatica,28.00.06.960,6.C960,Study Area,Study Area,6e verdieping,51.999097,4.377981,6,6,rustig,daglicht,ja (>/= 1 pp),nee,nee,0-25m,0-50m,0-25m
23SSP021,29 - ECHO,29.00.01.300,1300,Silent Study Room,Silent Study Room,1e verdieping,51.999496,4.377407,36,36,stil,daglicht,ja (>/= 1 pp),nee,nee,nvt,>50m,0-25m
23SSP019,29 - ECHO,29.00.01.400,1400,Study Area,Study Area,1e verdieping,51.999496,4.377407,34,0,rustig,daglicht,ja (<1 pp),nee,nee,nvt,0-50m,0-25m
23SSP020,29 - ECHO,29.00.01.401,1401,Cubicles,Cubicles,1e verdieping,51.999496,4.377407,12,0,rustig,daglicht,ja (<1 pp),nee,nee,nvt,0-50m,0-25m
23SSP018,29 - ECHO,29.00.01.805,1805,Lounge spot,Lounge spot,1e verdieping,51.999496,4.377407,0,0,rumoerig,daglicht,ja (<1 pp),nee,nee,nvt,0-50m,0-25m
23SSP017,29 - ECHO,29.00.00.100,0.1,Restaurant,Restaurant,begane grond,51.999496,4.377407,82,0,rumoerig,daglicht,nee,nee,nee,nvt,>50m,>25m
23SSP015,29 - ECHO,29.00.00.300,0.3,Silent Study Room,Silent Study Room,begane grond,51.999496,4.377407,70,70,stil,daglicht,ja (>/= 1 pp),nee,nee,nvt,0-50m,0-25m
23SSP016,29 - ECHO,29.00.00.400,0.4,Echo-plein,Echo-plein,begane grond,51.999496,4.377407,66,0,rustig,daglicht,nee,nee,nee,nvt,0-50m,0-25m
23SSP023,29 - ECHO,29.00.02.215,02.015 / 02.055,Study Area,Study Area,2e verdieping,51.999496,4.377407,48,48,rustig,daglicht,ja (<1 pp),ja,nee,nvt,>50m,0-25m
23SSP021,29 - ECHO,29.00.02.090,02.090 / 02.210,Silent Study Room,Silent Study Room,2e verdieping,51.999496,4.377407,54,54,stil,daglicht,ja (>/= 1 pp),nee,nee,nvt,0-50m,0-25m
23SSP022,29 - ECHO,29.00.02.090,02.090 / 02.210,Silent Study Room - with Monitors,Silent Study Room - with Monitors,2e verdieping,51.999496,4.377407,20,20,stil,daglicht,ja (>/= 1 pp),nee,nee,nvt,0-50m,0-25m
SSP00285,"31 - Techniek, Bestuur en Management",31.01.00.240,A0.240,Project Room 1,Project Room 1,begane grond,52.00238,4.369973,6,0,rustig,daglicht,ja (>/= 1 pp),ja,nee,>25m,0-50m,>25m
SSP00289,"31 - Techniek, Bestuur en Management",31.01.00.260,A0.260,Project Room 2,Project Room 2,begane grond,52.00238,4.369973,6,0,rustig,daglicht,ja (>/= 1 pp),ja,nee,>25m,0-50m,>25m
SSP00290,"31 - Techniek, Bestuur en Management",31.01.00.280,A0.280,Project Room 3,Project Room 3,begane grond,52.00238,4.369973,6,0,rustig,daglicht,ja (>/= 1 pp),ja,nee,>25m,0-50m,>25m
SSP00291,"31 - Techniek, Bestuur en Management",31.01.00.300,A0.300,Project Room 4,Project Room 4,begane grond,52.00238,4.369973,6,0,rustig,daglicht,ja (>/= 1 pp),ja,nee,>25m,0-50m,>25m
SSP00292,"31 - Techniek, Bestuur en Management",31.01.00.320,A0.320,Project Room 5,Project Room 5,begane grond,52.00238,4.369973,6,0,rustig,daglicht,ja (>/= 1 pp),ja,nee,>25m,0-50m,>25m
